@relation touch-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Llast-weka.filters.unsupervised.attribute.Remove-R11-12

@attribute pressure numeric
@attribute size numeric
@attribute touchmajor numeric
@attribute touchminor numeric
@attribute duration numeric
@attribute flytime numeric
@attribute shake numeric
@attribute orientation numeric
@attribute type numeric
@attribute class {2befe3dcb10c2ad0,Others}

@data
1,0.016863,4.6,4,103,108,120.8144,1,1,2befe3dcb10c2ad0
1,0.01634,4.333334,4,109,56,110.30455,1,1,2befe3dcb10c2ad0
1,0.016471,4.4,4,98,46,8.763676,1,1,2befe3dcb10c2ad0
1,0.013072,3.666667,3,81,123,75.771164,1,1,2befe3dcb10c2ad0
1,0.012418,3.333333,3,55,229,12.806581,1,1,2befe3dcb10c2ad0
1,0.01451,4,3.4,88,90,32.4153,1,1,2befe3dcb10c2ad0
1,0.014118,3.8,3.4,111,0,15.02462,1,2,2befe3dcb10c2ad0
1,0.012418,3.333333,3,110,167,9.378801,1,2,2befe3dcb10c2ad0
1,0.014902,4.4,3.2,104,132,55.061478,1,2,2befe3dcb10c2ad0
1,0.015686,4.25,3.75,79,90,44.356636,1,2,2befe3dcb10c2ad0
1,0.016667,4.75,3.75,113,221,29.163532,1,2,2befe3dcb10c2ad0
1,0.015294,4.2,3.6,89,82,31.226374,1,2,2befe3dcb10c2ad0
1,0.014706,4.25,3.25,89,139,63.542145,1,2,2befe3dcb10c2ad0
1,0.016993,4.666666,4,101,79,58.9975,1,2,2befe3dcb10c2ad0
1,0.01634,4.333334,4,100,0,15.435261,1,1,2befe3dcb10c2ad0
1,0.013725,3.666667,3.333333,97,40,17.199972,1,1,2befe3dcb10c2ad0
1,0.014379,3.666667,3.666667,108,70,62.901726,1,1,2befe3dcb10c2ad0
1,0.016667,4.5,4,69,121,50.39316,1,1,2befe3dcb10c2ad0
1,0.017647,4.8,4.2,80,131,39.73806,1,1,2befe3dcb10c2ad0
1,0.015686,4.25,3.75,86,33,2.219336,1,1,2befe3dcb10c2ad0
1,0.014706,4,3.5,96,160,68.72261,1,1,2befe3dcb10c2ad0
1,0.013725,4,3,81,0,77.34466,1,1,2befe3dcb10c2ad0
1,0.015196,4.25,3.5,81,97,10.241518,1,1,2befe3dcb10c2ad0
1,0.015686,4.5,3.5,93,133,11.629851,1,1,2befe3dcb10c2ad0
1,0.018431,5,4.4,63,83,15.127617,1,1,2befe3dcb10c2ad0
1,0.015033,4,3.666667,114,140,97.175735,1,1,2befe3dcb10c2ad0
1,0.015033,4.333334,3.333333,75,17,97.175735,1,1,2befe3dcb10c2ad0
1,0.017255,4.8,4,84,71,0.958738,1,1,2befe3dcb10c2ad0
1,0.014706,4,3.5,81,135,35.217285,1,1,2befe3dcb10c2ad0
1,0.013725,4,3,95,0,2.90052,1,2,2befe3dcb10c2ad0
1,0.012941,3.4,3.2,106,65,18.332153,1,2,2befe3dcb10c2ad0
1,0.015686,4.25,3.75,79,270,112.620865,1,2,2befe3dcb10c2ad0
1,0.015196,4,3.75,141,289,70.00543,1,2,2befe3dcb10c2ad0
1,0.014706,4,3.5,119,149,35.719315,1,2,2befe3dcb10c2ad0
1,0.015033,4.333334,3.333333,111,141,6.35739,1,2,2befe3dcb10c2ad0
1,0.01634,4.333334,4,71,257,21.236488,1,2,2befe3dcb10c2ad0
1,0.018627,5,4.5,115,0,29.235569,1,2,2befe3dcb10c2ad0
1,0.015294,4.2,3.6,91,149,27.529055,1,2,2befe3dcb10c2ad0
1,0.016527,4.571429,3.857143,138,66,68.185555,1,2,2befe3dcb10c2ad0
1,0.012745,3.75,2.75,89,57,77.20832,1,2,2befe3dcb10c2ad0
1,0.015686,4.333334,3.666667,79,214,61.140392,1,2,2befe3dcb10c2ad0
1,0.018137,5,4.25,92,209,69.31986,1,2,2befe3dcb10c2ad0
1,0.016667,4.5,4,61,141,16.962687,1,2,2befe3dcb10c2ad0
1,0.011765,3,3,46,174,7.362028,1,2,2befe3dcb10c2ad0
1,0.015686,4.25,3.75,80,0,46.772278,1,2,2befe3dcb10c2ad0
1,0.014706,4,3.5,89,104,57.073227,1,2,2befe3dcb10c2ad0
1,0.01634,4.666666,3.666667,95,149,13.788047,1,2,2befe3dcb10c2ad0
1,0.015686,4.5,3.5,117,56,64.70319,1,2,2befe3dcb10c2ad0
1,0.016667,4.5,4,97,185,27.628933,1,2,2befe3dcb10c2ad0
1,0.015686,4.333334,3.666667,80,72,44.00925,1,2,2befe3dcb10c2ad0
1,0.01634,4.666666,3.666667,97,109,14.397275,1,2,2befe3dcb10c2ad0
1,0.01634,4.666666,3.666667,52,132,26.597242,1,2,2befe3dcb10c2ad0
1,0.017647,5.25,3.75,89,0,18.482038,1,1,2befe3dcb10c2ad0
1,0.014706,4,3.5,107,138,81.85345,1,1,2befe3dcb10c2ad0
1,0.018627,5,4.5,88,162,1.036271,1,1,2befe3dcb10c2ad0
1,0.017255,5,3.8,98,89,45.080353,1,1,2befe3dcb10c2ad0
1,0.016667,4.5,4,114,98,133.43329,1,1,2befe3dcb10c2ad0
1,0.018431,5.2,4.2,142,63,167.96677,1,1,2befe3dcb10c2ad0
1,0.017647,4.666666,4.333334,54,194,44.09941,1,1,2befe3dcb10c2ad0
1,0.016993,4.666666,4,86,67,182.67165,1,1,2befe3dcb10c2ad0
1,0.015686,4,4,71,161,158.1042,1,1,2befe3dcb10c2ad0
1,0.015686,4.2,3.8,97,78,48.559467,1,1,2befe3dcb10c2ad0
1,0.013725,4,3,73,108,35.54208,1,1,2befe3dcb10c2ad0
1,0.017157,5,3.75,106,0,42.864937,1,1,2befe3dcb10c2ad0
1,0.015686,4.25,3.75,103,123,110.01455,1,1,2befe3dcb10c2ad0
1,0.018487,5.285714,4.142857,123,105,13.346952,1,1,2befe3dcb10c2ad0
1,0.016078,4.6,3.6,74,54,14.676302,1,1,2befe3dcb10c2ad0
1,0.013072,4,2.666667,79,58,169.88217,1,1,2befe3dcb10c2ad0
1,0.014379,4,3.333333,105,166,40.306366,1,1,2befe3dcb10c2ad0
1,0.018301,5,4.333334,120,180,69.1723,1,1,2befe3dcb10c2ad0
1,0.015294,4.4,3.4,69,134,47.924644,1,1,2befe3dcb10c2ad0
1,0.015686,4.5,3.5,47,220,68.79926,1,1,2befe3dcb10c2ad0
1,0.015686,4.333334,3.666667,92,676,34.467762,1,1,2befe3dcb10c2ad0
1,0.015196,4.25,3.5,80,0,14.413687,1,2,2befe3dcb10c2ad0
1,0.013072,3.666667,3,96,197,34.393845,1,2,2befe3dcb10c2ad0
1,0.015033,4.333334,3.333333,96,129,33.16829,1,2,2befe3dcb10c2ad0
1,0.014706,4,3.5,78,174,87.122284,1,2,2befe3dcb10c2ad0
1,0.01634,4.333334,4,119,491,60.200733,1,2,2befe3dcb10c2ad0
1,0.013725,3.75,3.25,123,383,154.39868,1,2,2befe3dcb10c2ad0
1,0.013725,3.75,3.25,78,238,44.38981,1,2,2befe3dcb10c2ad0
1,0.014379,4,3.333333,72,147,135.70016,1,2,2befe3dcb10c2ad0
1,0.014379,4,3.333333,110,0,51.646275,1,1,2befe3dcb10c2ad0
1,0.017974,5,4.166666,91,40,48.070587,1,1,2befe3dcb10c2ad0
1,0.016667,5,3.5,86,181,51.74152,1,1,2befe3dcb10c2ad0
1,0.016471,4.6,3.8,82,90,68.5843,1,1,2befe3dcb10c2ad0
1,0.013072,3.666667,3,112,82,0.768341,1,1,2befe3dcb10c2ad0
1,0.013725,3.8,3.2,97,115,69.8104,1,1,2befe3dcb10c2ad0
1,0.016247,4.714286,3.571429,118,36,140.4016,1,1,2befe3dcb10c2ad0
1,0.013725,3.833333,3.166667,96,91,38.167664,1,1,2befe3dcb10c2ad0
1,0.011765,3.333333,2.666667,67,35,70.23916,1,1,2befe3dcb10c2ad0
1,0.015686,4,4,98,0,34.429497,1,1,2befe3dcb10c2ad0
1,0.018301,4.666666,4.666666,90,64,70.73709,1,1,2befe3dcb10c2ad0
1,0.017927,4.857143,4.285714,113,82,33.802864,1,1,2befe3dcb10c2ad0
1,0.013725,4,3,92,65,135.64528,1,1,2befe3dcb10c2ad0
1,0.01451,4,3.4,105,38,3.126061,1,1,2befe3dcb10c2ad0
1,0.012745,3.5,3,88,100,93.58623,1,1,2befe3dcb10c2ad0
1,0.009804,2.5,2.5,90,40,69.422226,1,1,2befe3dcb10c2ad0
1,0.016667,4.5,4,93,166,72.4962,1,1,2befe3dcb10c2ad0
1,0.018627,5,4.5,68,73,208.59357,1,1,2befe3dcb10c2ad0
1,0.019608,5.25,4.75,113,0,7.662009,1,2,2befe3dcb10c2ad0
1,0.013725,3.75,3.25,99,200,10.852814,1,2,2befe3dcb10c2ad0
1,0.014706,4,3.5,110,239,29.642921,1,2,2befe3dcb10c2ad0
1,0.014706,4,3.5,114,51,36.966423,1,2,2befe3dcb10c2ad0
1,0.017647,4.666666,4.333334,87,384,79.69104,1,2,2befe3dcb10c2ad0
1,0.017647,4.666666,4.333334,87,116,19.59408,1,2,2befe3dcb10c2ad0
1,0.017157,4.5,4.25,126,116,37.7728,1,2,2befe3dcb10c2ad0
