@RELATION touch 

@ATTRIBUTE pressure		REAL
@ATTRIBUTE size		 	REAL
@ATTRIBUTE touchmajor	REAL
@ATTRIBUTE touchminor	REAL
@ATTRIBUTE duration		REAL
@ATTRIBUTE flytime		REAL
@ATTRIBUTE shake		REAL
@ATTRIBUTE orientation	INTEGER
@ATTRIBUTE type 		INTEGER
@ATTRIBUTE class 	{e6c172ca6be05a41,Others}

@DATA
0.49705887,0.029411767,7.5,7.5,81,1175,29.128613,1,2,e6c172ca6be05a41
0.4229692,0.02745098,7.0,7.0,82,110,16.506308,1,2,e6c172ca6be05a41
0.48496735,0.03006536,7.6666665,7.6666665,71,110,132.2548,1,2,e6c172ca6be05a41
0.4366013,0.026143795,6.6666665,6.6666665,62,0,16.344389,1,1,e6c172ca6be05a41
0.43186277,0.027941177,7.125,7.125,118,502,146.69446,1,1,e6c172ca6be05a41
0.4813726,0.02647059,6.75,6.75,63,45,196.95023,1,1,e6c172ca6be05a41
0.4202615,0.026797386,6.8333335,6.8333335,80,939,36.774914,1,1,e6c172ca6be05a41
0.4321569,0.022745099,5.8,5.8,62,921,54.373505,1,1,e6c172ca6be05a41
0.48470592,0.03764706,9.6,9.6,110,155,93.76534,1,1,e6c172ca6be05a41
0.42788672,0.04008715,10.222222,10.222222,122,158,10.273571,1,1,e6c172ca6be05a41
0.36078435,0.027886711,7.111111,7.111111,124,223,72.67416,1,1,e6c172ca6be05a41
0.4031373,0.024313727,6.2,6.2,53,74,17.830242,1,1,e6c172ca6be05a41
0.4705883,0.027450984,7.0,7.0,79,930,0.81725913,1,1,e6c172ca6be05a41
0.49542487,0.028758174,7.3333335,7.3333335,65,119,7.1321397,1,1,e6c172ca6be05a41
0.49542487,0.024836605,6.3333335,6.3333335,44,129,4.854816,1,1,e6c172ca6be05a41
0.4960785,0.030392159,7.75,7.75,61,1121,11.804193,1,1,e6c172ca6be05a41
0.4960785,0.024509806,6.25,6.25,108,83,95.26461,1,1,e6c172ca6be05a41
0.4960785,0.027450982,7.0,7.0,71,584,171.85925,1,1,e6c172ca6be05a41
0.49607846,0.023529414,6.0,6.0,71,0,165.89578,1,1,e6c172ca6be05a41
0.49647063,0.04156863,10.6,10.6,117,210,60.19923,1,1,e6c172ca6be05a41
