@relation touch-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Llast-weka.filters.unsupervised.attribute.Remove-R11-12

@attribute pressure numeric
@attribute size numeric
@attribute touchmajor numeric
@attribute touchminor numeric
@attribute duration numeric
@attribute flytime numeric
@attribute shake numeric
@attribute orientation numeric
@attribute type numeric
@attribute class {fb58815420addb16,Others}

@data
0.167157,0.072707,118.5,90.75,95,170,26.984781,1,1,fb58815420addb16
0.17098,0.063377,102,80.4,46,395,31.020454,1,1,fb58815420addb16
0.179608,0.092564,159.6,106.8,56,378,15.699042,1,1,fb58815420addb16
0.177031,0.07803,126,98.57143,90,81,62.344997,1,1,fb58815420addb16
0.169412,0.055872,85.2,75.6,49,9,62.344997,1,1,fb58815420addb16
0.175163,0.078874,134,93,63,227,72.630554,1,1,fb58815420addb16
0.171895,0.085823,141,106,76,0,11.461046,1,1,fb58815420addb16
0.171989,0.067011,123.42857,69.42857,74,175,39.10446,1,1,fb58815420addb16
0.169935,0.073315,116,95,66,8,21.710154,1,1,fb58815420addb16
0.165266,0.061948,101.14286,77.14286,73,328,10.667555,1,1,fb58815420addb16
0.163399,0.067755,119,76,55,131,3.247019,1,1,fb58815420addb16
0.163725,0.05212,90,60,54,158,18.911922,1,1,fb58815420addb16
0.168627,0.067547,115.2,79.2,45,210,32.122295,1,1,fb58815420addb16
0.177124,0.09312,159,109,70,0,1.595633,1,1,fb58815420addb16
0.163235,0.076355,128.25,91.5,98,548,56.27363,1,1,fb58815420addb16
0.160784,0.058374,94.5,73.5,30,251,15.624742,1,1,fb58815420addb16
0.161905,0.067606,108,86.57143,93,42,3.621077,1,1,fb58815420addb16
0.168627,0.068798,118.5,79.5,99,413,73.46259,1,1,fb58815420addb16
0.168627,0.062543,107.14286,72.85714,77,227,73.771904,1,1,fb58815420addb16
0.164706,0.06582,108.85714,80.57143,101,96,82.59964,1,1,fb58815420addb16
0.162465,0.069393,111.42857,88.28571,71,726,40.985363,1,1,fb58815420addb16
0.177031,0.08905,151.71428,104.57143,78,202,46.10298,1,1,fb58815420addb16
0.161905,0.066117,116.57143,73.71429,75,173,15.645546,1,1,fb58815420addb16
0.173454,0.066713,110.30769,81.69231,138,0,47.47062,1,2,fb58815420addb16
0.172247,0.058855,90.92308,78.46154,130,1161,55.654427,1,2,fb58815420addb16
0.17591,0.066713,121.71429,70.28571,98,1558,23.725353,1,2,fb58815420addb16
0.170806,0.067408,111.333336,82.666664,114,235,47.680458,1,2,fb58815420addb16
0.165196,0.068798,125.25,72.75,98,113,8.250004,1,2,fb58815420addb16
0.170588,0.070883,126,78,72,115,16.759237,1,2,fb58815420addb16
0.159804,0.063586,107.25,75.75,115,0,54.693554,1,1,fb58815420addb16
0.173039,0.076876,128.25,93,101,8,35.312653,1,1,fb58815420addb16
0.17423,0.078924,131.14285,96,74,124,151.36072,1,1,fb58815420addb16
0.171242,0.078179,134,91,63,123,135.11732,1,1,fb58815420addb16
0.170098,0.06958,111,89.25,101,888,11.050232,1,1,fb58815420addb16
0.17423,0.075648,125.14286,92.57143,90,67,43.143093,1,1,fb58815420addb16
0.171765,0.063377,94.8,87.6,46,124,16.098022,1,1,fb58815420addb16
0.174379,0.095205,161.2,112.8,147,237,118.470024,1,1,fb58815420addb16
0.173109,0.090837,153.42857,108,86,34,156.22203,1,1,fb58815420addb16
0.171895,0.092078,157,108,58,95,5.634212,1,1,fb58815420addb16
0.169363,0.071143,122.625,82.125,177,0,15.361786,1,1,fb58815420addb16
0.175,0.080003,141.75,88.5,107,238,41.4296,1,1,fb58815420addb16
0.162092,0.046213,72,61,56,632,8.521646,1,1,fb58815420addb16
0.16732,0.084086,137,105,59,9,8.521646,1,1,fb58815420addb16
0.171765,0.081306,142.8,91.2,53,803,63.57786,1,1,fb58815420addb16
0.166013,0.06706,106,87,72,219,74.05814,1,1,fb58815420addb16
0.171895,0.069493,111,89,59,17,21.4862,1,1,fb58815420addb16
0.165266,0.059565,102,69.42857,83,164,38.754738,1,1,fb58815420addb16
0.160539,0.063065,101.625,79.875,192,4,1.207881,1,1,fb58815420addb16
0.166885,0.051193,80,67.333336,118,605,31.921387,1,1,fb58815420addb16
0.167647,0.047429,73.5,63,101,60,14.932463,1,1,fb58815420addb16
0.163585,0.053311,81.42857,72,90,71,42.540497,1,1,fb58815420addb16
0.159804,0.067234,119.25,74.25,97,1016,11.048928,1,1,fb58815420addb16
0.165359,0.061154,97,79,67,8,7.207185,1,1,fb58815420addb16
0.166275,0.058235,94,73.6,158,124,50.47862,1,1,fb58815420addb16
0.171429,0.067011,118.28571,74.57143,72,13,45.490265,1,1,fb58815420addb16
0.167974,0.050035,79,65,82,386,20.432306,1,1,fb58815420addb16
0.16732,0.046213,74,59,80,89,65.18709,1,1,fb58815420addb16
0.170196,0.069632,122.4,78,46,558,3.420875,1,1,fb58815420addb16
0.166275,0.056498,89.4,73.2,154,194,31.060572,1,1,fb58815420addb16
0.162092,0.058026,94,73,75,62,15.090815,1,1,fb58815420addb16
0.17451,0.065323,105,83,76,0,22.519554,1,1,fb58815420addb16
0.164706,0.059267,94.28571,76.28571,86,180,23.94078,1,1,fb58815420addb16
0.155991,0.069261,118,81.333336,107,545,5.159049,1,1,fb58815420addb16
0.165142,0.066481,114.666664,76.666664,108,10,25.281982,1,1,fb58815420addb16
0.167974,0.070535,114,89,63,736,4.670678,1,1,fb58815420addb16
0.171242,0.064281,97,88,66,554,40.985363,1,1,fb58815420addb16
0.16732,0.063933,109,75,70,253,2.414479,1,1,fb58815420addb16
